display_name,first,last,middle,birth,death,country,language
Henry Lawson,Henry,Lawson,,1867,1922,Australia,English
Banjo Paterson,Banjo,Paterson,,1864,1941,Australia,English
Les Murray,Les,Murray,,1938,2019,Australia,English
Oodgeroo Noonuccal,Oodgeroo,Noonuccal,,1920,1993,Australia,English
Judith Wright,Judith,Wright,,1915,2000,Australia,English
Gwen Harwood,Gwen,Harwood,,1920,1995,Australia,English
Charles Bernstein,Charles,Bernstein,,1950,,United States of America,English
Lyn Hejinian,Lyn,Hejinian,,1941,,United States of America,English
Rae Armantrout,Rae,Armantrout,,1947,,United States of America,English
Larry Eigner,Larry,Eigner,,1927,1996,United States of America,English
Hart Crane,Hart,Crane,,1899,1932,United States of America,English
Emily Dickinson,Emily,Dickinson,,1830,1886,United States of America,English
José Garcia Villa,José,Villa,Garcia,1908,1997,Philippines,English
Nick Joaquín,Nick,Joaquín,,1917,2004,Philippines,English
Ophelia Alcantara Dimalanta,"Ophelia ",Dimalanta,Alcantara,1932,2010,Philippines,English
Virginia R. Moreno,Virginia,Moreno,R,1925,,Philippines,English
Butch Bandillo,Butch,Bandillo,,1957,,Philippines,Cebuano
Conchitina Cruz,Conchitina,Cruz,,,,Philippines,English
Rubén Darío,Rubén,Darío,,1867,1916,Nicaragua,Spanish
Nicanor Parra,Nicanor,Parra,,1914,2018,Chile,Spanish
Coral Bracho,Coral,Bracho,,1951,,Mexico,Spanish
Gloria Fuertes,Gloria,Fuertes,,1917,1998,Spain,Spanish
